rendimiento_promedio_media,num_enlaces,num_imgs,num_keywords,subjetividad_global,fin_de_semana,polaridad_negativa_media,subjetividad_titulo,abs_title_sentiment_polarity,es_viral,tematica_num
0.0,4.0,1.0,5.0,0.521617145481,0.0,-0.35,0.5,0.1875,0,0
0.0,3.0,1.0,4.0,0.341245791246,0.0,-0.11875,0.0,0.0,0,2
0.0,3.0,1.0,6.0,0.702222222222,0.0,-0.466666666667,0.0,0.0,1,2
0.0,9.0,1.0,7.0,0.42984968735,0.0,-0.369696969697,0.0,0.0,0,0
0.0,19.0,20.0,7.0,0.513502122877,0.0,-0.220192307692,0.454545454545,0.136363636364,0,5
0.0,2.0,0.0,9.0,0.437408648699,0.0,-0.195,0.642857142857,0.214285714286,0,5
0.0,21.0,20.0,10.0,0.514480300844,0.0,-0.224479166667,0.0,0.0,0,1
0.0,20.0,20.0,9.0,0.543474234099,0.0,-0.242777777778,1.0,0.5,0,5
0.0,2.0,0.0,7.0,0.538888888889,0.0,-0.125,0.125,0.0,1,5
0.0,4.0,1.0,5.0,0.313888888889,0.0,-0.238095238095,0.0,0.0,0,3
0.0,11.0,1.0,8.0,0.482059813124,0.0,-0.415064102564,0.0,0.0,1,3
0.0,7.0,1.0,7.0,0.477164502165,0.0,-0.2625,0.0,0.0,1,1
0.0,18.0,11.0,8.0,0.534950029394,0.0,-0.310416666667,1.0,1.0,0,1
0.0,4.0,0.0,6.0,0.509743589744,0.0,-0.337888888889,1.0,1.0,1,1
0.0,19.0,9.0,7.0,0.295175127902,0.0,-0.13869047619,0.75,0.55,0,1
0.0,10.0,1.0,6.0,0.473285048285,0.0,-0.220149911817,0.75,0.25,1,3
0.0,26.0,12.0,5.0,0.57962962963,0.0,-0.401436781609,0.566666666667,0.1,1,1
0.0,11.0,1.0,6.0,0.374313754427,0.0,-0.144642857143,0.0,0.0,1,2
0.0,3.0,1.0,6.0,0.423611111111,0.0,-0.125,0.857142857143,0.714285714286,1,1
